"language_id","name","last_updated"
1,"English","2017-12-20 11:24:08.982022"
2,"Spanish","2017-12-20 11:24:18.023823"
3,"Italian","2017-12-20 11:24:53.645943"
4,"Russian","2017-12-20 11:24:53.645943"
5,"Dutch","2017-12-20 11:42:04.747762"
6,"French","2017-12-20 11:42:04.747762"
7,"German","2017-12-20 11:42:04.747762"
8,"Lithuanian","2017-12-20 11:42:04.747762"
9,"Greek","2017-12-20 11:42:13.112231"
10,"Mandarin","2017-12-20 11:42:13.112231"
11,"Japanese","2017-12-20 11:42:39.262556"
12,"Polish","2017-12-20 11:52:01.827834"
13,"Arabic","2017-12-20 12:07:27.783999"
14,"Hindi","2017-12-20 12:30:12.554758"
15,"Albanian","2017-12-20 12:30:29.078915"
16,"Swahili","2017-12-20 12:30:29.078915"
17,"Swedish","2017-12-20 12:30:29.078915"
18,"Turkish","2017-12-20 12:30:29.078915"
19,"Cantonese","2017-12-20 12:30:29.078915"
20,"Hebrew","2017-12-20 12:30:29.078915"
21,"Klingon","2017-12-20 12:30:29.078915"
22,"Bengali","2017-12-20 12:30:29.078915"
23,"Czech","2017-12-20 12:30:29.078915"
24,"Icelandic","2017-12-20 14:07:52.137665"
25,"Afrikaans","2017-12-20 14:07:52.137665"
26,"Norwegian","2017-12-20 14:07:52.137665"
27,"Irish","2017-12-20 14:10:55.494513"
28,"Romanian","2017-12-20 14:36:50.190587"
29,"Vietnamese","2017-12-20 15:41:02.727206"
30,"Danish","2017-12-20 21:50:07.210213"
31,"Neapolitan","2017-12-20 22:07:00.827534"
32,"Gujarati","2017-12-20 22:07:48.117436"
33,"Korean","2017-12-21 10:02:17.78205"
34,"Old English","2017-12-21 10:45:34.355619"
35,"Norse, Old","2017-12-21 10:45:34.355619"
36,"Latin","2017-12-21 10:45:34.355619"
37,"Romany","2017-12-21 10:54:26.495812"
38,"Chinese","2017-12-21 11:00:01.725146"
39,"Persian","2017-12-21 11:00:01.725146"
40,"Assyrian Neo-Aramaic","2017-12-21 11:34:30.626559"
41,"Syriac","2017-12-21 11:56:58.064582"
42,"Esperanto","2017-12-21 11:59:25.350938"
43,"Portuguese","2017-12-21 15:56:04.498504"
44,"Sicilian","2017-12-21 15:57:09.373223"
45,"Sindarin","2017-12-21 15:57:39.057885"
46,"Nepali","2017-12-21 16:00:45.085806"
47,"Quenya","2017-12-21 16:12:48.826623"
48,"Hungarian","2017-12-21 16:15:57.954692"
49,"Scottish Gaelic","2017-12-21 16:19:32.931267"
50,"Xhosa","2017-12-21 17:00:02.75661"
51,"Zulu","2017-12-21 17:00:02.75661"
52,"Finnish","2017-12-21 17:14:25.859621"
53,"Somali","2017-12-21 17:14:25.859621"
54,"Thai","2017-12-21 17:51:34.274143"
55,"Urdu","2017-12-21 18:16:54.998797"
56,"Hmong","2017-12-21 18:19:44.617911"
57,"American Sign Language","2017-12-21 18:42:49.290674"
58,"Yiddish","2017-12-21 18:43:34.132189"
59,"Belarusian","2017-12-21 18:51:43.438275"
60,"Panjabi","2017-12-21 18:51:52.055702"
61,"Tatar","2017-12-21 19:25:45.23932"
62,"Shanghainese","2017-12-22 08:48:31.249399"
63,"Kurdish","2017-12-22 08:48:49.129589"
